ID,Start time,Completion time,Email,Name,I have read the Participant Information Sheet included with this questionnaire.,I am over the age of 18.,"I understand that no personal identifying data is collected in this study, therefore I know that once I have submitted my answers I am unable to withdraw my data from the study.","I agree that my data can be anonymised, stored and used in future research in line with Brunel University’s data retention policies.",I agree to take part in this study.,"Which country are you studying in or studied from? (If it is 2 or more countries, mention the latest one)",Which level of education are you currently studying in or studied till?,Which credit awarding framework does your education system or institution practice?  ,Were you aware that academic credit awarding systems had credit transferability and conversion issues?  ,Which of the following issues do you think is a bigger hurdle for a student in terms of their academic credentials? ,"With respect to student exchange programs or credit transferability, students often have to incur additional costs or lose the time they spent in their previous study course. Which one among the f...",How useful do you think implementing technology would be in the education sector for the elimination of paper-based transcripts & certificates? ,"How useful do you think decentralising the credit & credential system be to the education community (students, universities, employers)? ","On a scale of 1 to 5, select the level of collaboration you think is essential for countries or educational frameworks in working together to form a unified or standardized credit system on a glob...","Mention with keywords or a short answer, what are your suggestions in addressing the problem of credentials & credits on a global stance?","Mention with keywords, what are your suggestions for the adoption of blockchain in education sector to succeed?"
47,6-26-22 15:19:15,6-26-22 15:21:56,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,4,"It is a digital platform so we need to protect the users within this ecosystem.  There is a risk with it will not be recognizable by employers, so as a result this method may not always lead to coherent qualifications. So the thing is there is some sort of duality will exist between traditional degrees and digital credentials which will lead to non formal type or partial certification.","Government support and stakeholders in corporate sector need to be effective for this to get the highlights and importance of international cooperation.  Ethics and practice of this also needs to be developed to exist in ""digital society"""
48,6-26-22 15:27:01,6-26-22 15:29:11,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,5,,
49,6-26-22 15:34:37,6-26-22 15:38:38,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Competition in job market due to fake certificates or credentials.,Additional costs ,Neutral,Somewhat useful,4,RFID aithorised credentials would be better.,Blockchain commands play a major role in transforming any kind of data digitally. It will for sure be the future boom in market.
50,6-26-22 15:41:44,6-26-22 15:45:50,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Master's,Don't know,No,Competition in job market due to fake certificates or credentials.,Additional costs ,Somewhat useful,Very useful,5,There must be transparency as well as security when it's required ,"It helps in security, transparency and reduction in costs"
51,6-26-22 15:44:47,6-26-22 15:46:40,anonymous,,Yes,Yes,Yes,Agree,Agree,united kingdom,Master's,CATS (Credit Accumulation and Transfer Scheme) - UK ,No,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Very useful,Very useful,4,Nc,Nc
52,6-26-22 15:44:14,6-26-22 15:47:02,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Does not follow any credit awarding framework,Yes,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Very useful,Very useful,5,,
53,6-26-22 15:50:57,6-26-22 15:52:36,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,ECTS (European Credit Transfer System) - EU,Yes,Loss of paper-based transcripts & certificates,Additional costs ,Very useful,Very useful,5,No such regular material available ,Please provide Education based on percentage not on category 
54,6-26-22 15:49:13,6-26-22 15:53:07,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),Yes,Loss of paper-based transcripts & certificates,Additional costs ,Very useful,Somewhat useful,4,,
55,6-26-22 16:01:58,6-26-22 16:03:59,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Master's,Don't know,No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Somewhat useful,Very useful,4,,
56,6-26-22 16:17:42,6-26-22 16:20:13,anonymous,,Yes,Yes,Yes,Agree,Agree,Germany ,Master's,ECTS (European Credit Transfer System) - EU,Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Very useful,Very useful,5,,
57,6-26-22 16:36:48,6-26-22 16:38:19,anonymous,,Yes,Yes,Yes,Agree,Agree,Singapore ,Master's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Neutral,4,,
58,6-26-22 16:37:14,6-26-22 16:40:02,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,Yes,Loss of paper-based transcripts & certificates,Additional costs ,Somewhat useful,Somewhat useful,4,,
59,6-26-22 16:39:23,6-26-22 16:40:30,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Does not follow any credit awarding framework,Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Very useful,5,,
60,6-26-22 16:43:54,6-26-22 16:45:05,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Somewhat useful,Somewhat useful,5,,
61,6-26-22 16:55:47,6-26-22 16:57:10,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Very useful,Very useful,5,,
62,6-26-22 17:00:03,6-26-22 17:00:33,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,Yes,Loss of paper-based transcripts & certificates,Additional costs ,Very useful,Very useful,5,Hhufds,Fffds
63,6-26-22 16:56:09,6-26-22 17:01:57,anonymous,,Yes,Yes,Yes,Agree,Agree,United States ,Master's,ACS (American Credit System) - American ,Yes,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Very useful,Neutral,5,Consider the effort and time put in by a student and make it easier to transfer the credits to another college,Would be helpful 
64,6-26-22 17:04:16,6-26-22 17:06:37,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Loss of paper-based transcripts & certificates,Additional costs ,Very useful,Very useful,4,,
65,6-26-22 17:16:51,6-26-22 17:19:26,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Somewhat useful,Somewhat useful,4,,
66,6-26-22 17:23:59,6-26-22 17:25:55,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Somewhat useful,Somewhat useful,4,,
67,6-26-22 17:46:28,6-26-22 17:49:45,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Very useful,Very useful,5,,
68,6-26-22 17:48:59,6-26-22 17:52:30,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Very useful,Very useful,4,,
69,6-26-22 17:50:53,6-26-22 17:53:27,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Somewhat useful,Neutral,4,,
70,6-26-22 17:54:27,6-26-22 17:57:36,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Very useful,Very useful,5,,
71,6-26-22 17:57:11,6-26-22 18:04:00,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Somewhat useful,4,"Completing a course and getting credits doesn't always mean the person knows everything that was taught in the course and would still be able to use the credits, need to address this gap..",People need the understanding of blockchain and am example of it being used and it being better so it can be accepted in other countries
72,6-26-22 18:09:25,6-26-22 18:11:11,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Somewhat useful,4,,
73,6-26-22 18:10:09,6-26-22 18:12:21,anonymous,,No,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Somewhat useful,Somewhat useful,5,,
74,6-26-22 18:22:40,6-26-22 18:26:48,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Don't know,No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Very useful,Neutral,4,,
75,6-26-22 18:30:53,6-26-22 18:33:47,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,5,,
76,6-26-22 18:34:15,6-26-22 18:35:47,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),Yes,Loss of paper-based transcripts & certificates,Additional costs ,Very useful,Very useful,5,,
77,6-26-22 18:43:09,6-26-22 18:45:16,anonymous,,Yes,Yes,Yes,Agree,Agree,United Kingdom ,Bachelor's,CATS (Credit Accumulation and Transfer Scheme) - UK ,Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Very useful,3,,
78,6-26-22 19:08:16,6-26-22 19:10:20,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Very useful,Very useful,5,,
79,6-26-22 19:03:42,6-26-22 19:18:15,anonymous,,Yes,Yes,Yes,Agree,Agree,United Kingdom,Master's,ECTS (European Credit Transfer System) - EU,No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Very useful,Neutral,5,The education system differs significantly even though the credibility system is well organised and makes it easier to keep up with Academic scores it may impact the credentials of international students on various levels. it might be easier if there were familiarity with credits on global stance.,There are various benefits in adoption of blockchain in educational sector since it can make it easier for assessing data of an individual systematically.
80,6-26-22 19:38:57,6-26-22 19:42:12,anonymous,,Yes,Yes,Yes,Agree,Agree,United States,Master's,ACS (American Credit System) - American ,Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Somewhat useful,Very useful,4,,
81,6-26-22 19:59:51,6-26-22 20:02:27,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,5,Should be implicated ,It would change the system in a good way 
82,6-27-22 1:48:03,6-27-22 1:53:55,anonymous,,Yes,Yes,Yes,Agree,Agree,Australia ,Master's,Don't know,Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,5,teaching across the globe should be the same.,World renowned universities working together making this world a better place 
83,6-27-22 4:34:08,6-27-22 4:35:40,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Master's,Asian credit systems (countries in Asia),Yes,Loss of paper-based transcripts & certificates,Additional costs ,Very useful,Very useful,5,,
84,6-27-22 6:59:42,6-27-22 7:01:40,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Neutral,3,,
85,6-27-22 8:28:47,6-27-22 8:30:11,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Master's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Very useful,5,,
86,6-27-22 9:21:36,6-27-22 9:28:09,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Very useful,Neutral,5,,
87,6-27-22 9:26:04,6-27-22 9:29:28,anonymous,,Yes,Yes,Yes,Disagree,Agree,India ,Master's,Does not follow any credit awarding framework,No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,5,,
88,6-27-22 10:39:37,6-27-22 10:46:36,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Loss of paper-based transcripts & certificates,Additional costs ,Very useful,Somewhat useful,3,,
89,6-27-22 11:57:13,6-27-22 11:59:28,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Master's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Neutral,5,,
90,6-27-22 14:16:44,6-27-22 14:20:23,anonymous,,Yes,No,Yes,Agree,Agree,India,"Below Bachelor's (12th, diploma, GCSE, A Level, etc)",Does not follow any credit awarding framework,No,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Very useful,Very useful,5,Improvement to be brought up  in technology,Helpful
91,6-27-22 15:31:18,6-27-22 15:37:16,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Somewhat useful,Very useful,5,,
92,6-28-22 6:00:01,6-28-22 6:01:29,anonymous,,Yes,Yes,Yes,Agree,Agree,United states,Master's,ACS (American Credit System) - American ,Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Somewhat useful,Very useful,5,,
93,6-28-22 9:18:08,6-28-22 9:20:20,anonymous,,Yes,Yes,Yes,Disagree,Agree,India,Bachelor's,ECTS (European Credit Transfer System) - EU,No,Loss of paper-based transcripts & certificates,Additional costs ,Very useful,Neutral,5,,
94,6-28-22 14:44:37,6-28-22 14:46:26,anonymous,,Yes,Yes,Yes,Agree,Agree,Austria,PhD,ECTS (European Credit Transfer System) - EU,Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Very useful,Very useful,5,,
